اسم المرض,التعريف,الانواع,الأعراض,الأسباب,طرق العلاج,الأدوية المرتبطة,طرق الوقاية,الاشخاص الاكثر عرضه
التهاب الكبد الفيروسي,التهاب في الكبد بسبب عدوى فيروسية,A - B - C - D - E,الغثيان- إجهاد- اصفرار الجلد- البول الداكن,انتقال العدوى عبر الدم- الطعام- الملوثات - العلاقات الجنسية,أدوية مضادة للفيروسات- زراعة الكبد (في الحالات الشديدة),إينتيرفيرون- لاميفودين- ريبافيرين,التطعيم - النظاقه الشخصيه- تجنب مشاركة الإبر,متعاطو المخدرات بالحقن - المصابون بأمراض مناعية
الصدفية,مرض جلدي مزمن يسبب تراكم خلايا الجلد بشكل غير طبيعي,الصدفية اللويحية- القطرية- العكسية- المحمرة,بقع حمراء على الجلد- قشور بيضاء- حكة- تشقق الجلد,اضطراب مناعي ذاتي- عوامل وراثية- التوتر,مراهم موضعية- العلاج الضوئي- أدوية مناعية,كورتيكوستيرويدات - سيكلوسبورين - ميثوتريكسات,تجنب التوتر- ترطيب البشرة- تجنب المحفزات الجلدية,الأشخاص الذين لديهم تاريخ عائلي - مرضى المناعة الذاتية
متلازمة القولون العصبي,اضطراب وظيفي في الجهاز الهضمي يسبب مشاكل في حركة الأمعاء,الإسهالي - الإمساكي - المختلط,ألم بطني - انتفاخ - إسهال أو إمساك متكرر,التوتر - الطعام الدهني - اضطرابات الأمعاء,أدوية مهدئة للأمعاء - تنظيم الطعام - تجنب التوتر,ميبفرين - لوبيراميد - بروبيوتيك,تناول ألياف صحية - تجنب الكافيين - ممارسة الرياضة,الأشخاص الذين يعانون من القلق والتوتر - مرضى الأمعاء الحساسة
الصداع,ألم في الرأس قد يكون نابضًا أو ضاغطًا,التوتري - النصفي - العنقودي,ألم في مقدمة أو جوانب الرأس - حساسية للضوء والصوت,التوتر - قلة النوم - الجفاف - الإجهاد,الراحة - شرب الماء - تقليل التعرض للضوء,باراسيتامول - إيبوبروفين - أسبرين,شرب الماء - النوم الجيد - تقليل التوتر,الأشخاص الذين يعانون من التوتر - المصابون بإجهاد عضلي
الحموضة المعوية,إحساس بالحرقان في الصدر بسبب ارتجاع الحمض,حموضة مؤقتة - ارتجاع مزمن,حرقان في الصدر - طعم مر في الفم - غثيان,الأطعمة الدهنية أو الحارة - التدخين - الكافيين,تناول مضادات الحموضة - تجنب الطعام المهيج,رانيتيدين - أوميبرازول - جافيسكون,تجنب الأطعمة الدهنية - تناول وجبات صغيرة,المصابون بارتجاع المريء - النساء الحوامل
نزلات البرد,عدوى فيروسية تصيب الجهاز التنفسي العلوي,الفيروسية - البكتيرية,العطس - سيلان الأنف - التهاب الحلق - سعال,التعرض للفيروسات - ضعف المناعة,الراحة - شرب السوائل - أدوية لتخفيف الأعراض,بانادول كولد آند فلو، سودوإيفيدرين,غسل اليدين - تجنب المصابين - تقوية المناعة,الأطفال، -كبار السن - المصابون بضعف المناعة
السعال,رد فعل طبيعي لإزالة البلغم أو المهيجات,جاف - رطب (مع بلغم),سعال مستمر - التهاب الحلق - بحة الصوت,التهابات الجهاز التنفسي - الحساسية,مهدئات السعال - المشروبات الدافئة,ديكستروميثورفان - غايفينيسين,تجنب التدخين - شرب السوائل الدافئة,المدخنون - المصابون بالحساسية
الإمساك,صعوبة في التبرز أو قلة عدد مرات التبرز,الحاد - المزمن,انتفاخ البطن - جفاف البراز - ألم أثناء التبرز,نقص الألياف - قلة شرب الماء، قلة النشاط البدني,تناول ملينات - زيادة الألياف في الغذاء,بيكوسلفات الصوديوم - لاكتولوز,شرب الماء، تناول الألياف - المشي يوميًا,كبار السن - قليلو الحركة - مرضى القولون
الإسهال,زيادة في عدد مرات التبرز مع تغير في القوام,الحاد - المزمن,براز مائي - تقلصات البطن - غثيان,عدوى فيروسية - حساسية الطعام - القلق,أدوية مضادة للإسهال - محاليل تعويض السوائل,لوبيراميد (إيموديوم) - ORS,غسل اليدين - تجنب الأطعمة الملوثة,الأطفال - المسافرون - المصابون بضعف المناعة
الحساسية الموسمية,رد فعل مناعي مفرط تجاه مواد غير ضارة,الربيعية - الخريفية,العطس - حكة في العيون - سيلان الأنف,حبوب اللقاح - الغبار - وبر الحيوانات,مضادات الهيستامين - بخاخات الأنف,لوراتادين - سيتريزين -فيكسوفينادين,تجنب التعرض للمثيرات - استخدام فلتر للهواء,مرضى الربو - أصحاب الحساسية الوراثية
الحمى,ارتفاع درجة حرارة الجسم استجابة للعدوى,حمى فيروسية - حمى بكتيرية,ارتفاع الحرارة - قشعريرة - تعرق,العدوى الفيروسية أو البكتيرية - الالتهابات,خافضات الحرارة - شرب السوائل,باراسيتامول - إيبوبروفين,الراحة - تجنب العدوى - تناول التطعيمات,الأطفال - المصابون بعدوى فيروسية
آلام العضلات والمفاصل,انزعاج أو تيبس في العضلات والمفاصل,شد عضلي- التهاب مفاصل,ألم موضعي- تشنجات عضلية- تصلب,الإجهاد العضلي- الإصابات,تمارين الإطالة- استخدام مسكنات موضعية,ديكلوفيناك جل- إيبوبروفين,تمارين الإحماء- الراحة الكافية,الرياضيون- الأشخاص الجالسون لفترات طويلة
التهاب الحلق,تهيج أو ألم في الحلق يزداد عند البلع,الفيروسي- البكتيري,ألم الحلق- صعوبة البلع- بحة الصوت,العدوى الفيروسية- الحساسية,الغرغرة- استخدام المسكنات,أقراص الاستحلاب- سبراي الحلق,شرب السوائل الدافئة- غسل اليدين,الأطفال- المدخنون
جفاف العين,نقص إنتاج الدموع أو تبخرها بسرعة,متلازمة جفاف العين- التهيج التحسسي,احمرار- حرقان- تشوش الرؤية,استخدام الشاشات لفترات طويلة- التدخين,قطرات ترطيب العين- تجنب المهيجات,تيرز ناتشورال- هايلو كومود,تجنب التدخين- استخدام شاشة واقية,مستخدمو الكمبيوتر لفترات طويلة
الأرق وصعوبات النوم,صعوبة في النوم أو الاستمرار فيه,حاد- مزمن,صعوبة النوم- الاستيقاظ المتكرر- التعب,القلق- الكافيين- اضطرابات النوم,تقليل الكافيين- ضبط مواعيد النوم,ديفينهيدرامين- ميلاتونين,تجنب المنبهات- ضبط وقت النوم,الأشخاص الذين يعانون من القلق
حروق الشمس,تلف في الجلد بسبب التعرض المفرط لأشعة الشمس,خفيفة- متوسطة- شديدة,احمرار الجلد- تقشير- ألم- حكة,التعرض المباشر لأشعة الشمس لفترات طويلة بدون واقي,تبريد الجلد- استخدام مرطبات ومضادات الالتهاب,جل الألوفيرا- كريم الهيدروكورتيزون- بانثينول,استخدام واقي الشمس- تجنب الشمس في ساعات الذروة,الأشخاص ذوو البشرة الفاتحة- من يتعرضون للشمس لفترات طويلة
التهابات الأذن الخارجية (أذن السباح),التهاب يصيب قناة الأذن بسبب التعرض للماء,حادة- مزمنة,حكة في الأذن- إفرازات- ألم عند لمس الأذن,تراكم الماء في الأذن- العدوى البكتيرية- استخدام أدوات غير نظيفة,تنظيف الأذن- استخدام قطرات مضادة للالتهاب,قطرات الأذن الحمضية- مضادات الهيستامين,تجفيف الأذن بعد السباحة- تجنب إدخال أجسام غريبة,السباحون- الأشخاص الذين يستخدمون سماعات الأذن لفترات طويلة
قرحة الفم,تقرحات صغيرة مؤلمة تظهر داخل الفم,القلاعية الصغرى- القلاعية الكبرى- الهربسية الشكل,ألم عند الأكل- بقع بيضاء أو حمراء داخل الفم,نقص الفيتامينات- التوتر- إصابات الفم,استخدام جل موضعي- تجنب الأطعمة الحارة,جل البنزوكاين- غسول الفم المضاد للبكتيريا,تجنب العض على اللسان- تقليل التوتر,الأشخاص الذين يعانون من نقص فيتامين B12- مرضى التوتر
جفاف الشفاه,تشقق وجفاف الشفاه بسبب فقدان الرطوبة,حاد- مزمن,تشقق الشفاه- احمرار- تقشر الجلد,الطقس البارد- نقص الماء- التعرض للشمس,استخدام مرطبات الشفاه- زيادة شرب الماء,بلسم الشفاه بالفازلين- زبدة الكاكاو,شرب الماء- استخدام مرطبات الشفاه بانتظام,الأشخاص الذين يتعرضون للبرد- من لا يشربون الماء بكفاية
احتقان الأنف,انسداد مجرى الأنف بسبب التهاب الأنسجة,التهاب فيروسي- تحسسي- بكتيري,صعوبة في التنفس- زيادة إفرازات الأنف- صداع,البرد- الحساسية- التهابات الجهاز التنفسي,استخدام بخاخات الأنف- مضادات الهيستامين,أوكسي ميتازولين (نازيفين)- فينيليفرين,تجنب المهيجات- تنظيف الأنف بمحلول ملحي,المصابون بالحساسية- الأطفال- المدخنون
الدوار البسيط,إحساس بالدوخة وعدم التوازن,دوار وضعي- دوار مركزي,فقدان التوازن- غثيان- رؤية غير واضحة,مشاكل الأذن الداخلية- انخفاض ضغط الدم,الراحة- شرب السوائل- أدوية تخفيف الدوار,ميكليزين- ديمينهيدرينات (درامامين),شرب السوائل- الوقوف ببطء عند الجلوس,كبار السن- الأشخاص الذين يعانون من انخفاض الضغط
جفاف الحلق,الشعور بخشونة وجفاف في الحلق بدون التهاب,بسبب الجفاف- الحساسية- التنفس عن طريق الفم,الشعور بالحكة- بحة الصوت- صعوبة في التحدث,قلة شرب الماء- التنفس من الفم أثناء النوم,شرب الماء- استخدام أقراص استحلاب لترطيب الحلق,أقراص المنثول- سبراي ترطيب الحلق,شرب السوائل- استخدام مرطب للهواء,الأشخاص الذين ينامون وأفواههم مفتوحة- المدخنون
انتفاخ البطن,تجمع الغازات في الجهاز الهضمي يسبب شعورًا بالامتلاء,مؤقت- مزمن,شعور بالضغط- تجشؤ متكرر- ألم خفيف في البطن,تناول أطعمة غنية بالألياف- ابتلاع الهواء أثناء الأكل,أدوية طاردة للغازات- تجنب المشروبات الغازية,سيميثيكون- الفحم النشط,تجنب الأكل السريع- تقليل استهلاك الألياف المفاجئ,الأشخاص الذين يتناولون الأطعمة الغنية بالألياف بكثرة
حكة الجلد,شعور مزعج يدفع الشخص إلى الحك,جلد جاف- تحسسي- نتيجة لدغات الحشرات,احمرار- جفاف- تقشر الجلد,الحساسية- لدغات الحشرات- الجفاف,استخدام كريمات مرطبة ومضادة للحكة,كريم الهيدروكورتيزون- لوراتادين,استخدام صابون مرطب- تجنب حك الجلد,الأشخاص ذوو البشرة الجافة- المصابون بالحساسية
دوالي الساقين الخفيفة,توسع الأوردة في الساقين نتيجة ضعف جدران الأوعية,دوالي سطحية- داخلية,انتفاخ الأوردة- ثقل في الساقين- حكة,الوقوف لفترات طويلة- ضعف الأوردة الوراثي,ارتداء الجوارب الضاغطة- رفع الساقين,كريمات مضادة للالتهاب- فينوتون,تجنب الوقوف الطويل- ممارسة التمارين,النساء- كبار السن- الأشخاص الذين يعانون من زيادة الوزن
التهاب المعدة,التهاب بطانة المعدة بسبب العدوى أو الأدوية,حاد- مزمن,ألم المعدة- غثيان- قيء- انتفاخ,العدوى البكتيرية (H. pylori)- استخدام المسكنات بكثرة,مضادات الحموضة- المضادات الحيوية عند الحاجة,أوميبرازول- رانيتيدين- مالوكس,تقليل التوتر- تجنب الأطعمة الحارة,المصابون بجرثومة المعدة- المستخدمون المفرطون للمسكنات
قرحة المعدة,جرح في بطانة المعدة نتيجة الأحماض الهضمية,بسيطة- نزيفية,ألم البطن- حموضة- فقدان الشهية,بكتيريا H. pylori- التدخين- الإفراط في المسكنات,مثبطات الأحماض- مضادات البكتيريا,أوميبرازول- بيزموث سبساليسيلات,تجنب التدخين- الحد من الكافيين,المدخنون- المصابون بجرثومة المعدة
الإمساك المزمن,صعوبة مستمرة في التبرز,وظيفي- عضوي,انتفاخ البطن- جفاف البراز- ألم أثناء التبرز,قلة الألياف- الجفاف- نقص النشاط البدني,ملينات- تحسين العادات الغذائية,بيكوسلفات الصوديوم- لاكتولوز,شرب الماء- ممارسة الرياضة,كبار السن- قليلو الحركة
الإسهال المزمن,زيادة مستمرة في عدد مرات التبرز,التهابي- دهني- وظيفي,براز مائي- تقلصات- فقدان الوزن,حساسية الطعام- أمراض الجهاز الهضمي,أدوية تقليل حركة الأمعاء- تعديل النظام الغذائي,لوبيراميد- أكياس ORS,تجنب الأطعمة المسببة- شرب الماء النظيف,المصابون بأمراض الجهاز الهضمي
التهاب الشعب الهوائية,التهاب في الممرات الهوائية للرئة,حاد- مزمن,سعال مستمر- ضيق تنفس- بلغم,التدخين- العدوى الفيروسية- الملوثات,موسعات الشعب- مضادات الالتهاب,سالبيوتامول- برومهيكسين,تجنب التدخين- استخدام كمامات الهواء,المدخنون- المصابون بالحساسية
متلازمة التعب المزمن,اضطراب يسبب إرهاقًا مستمرًا بدون سبب طبي واضح,مجهول السبب,تعب دائم- ضعف الذاكرة- ألم عضلي,عوامل مناعية- عدوى فيروسية محتملة,تمارين خفيفة- تنظيم النوم,مكملات فيتامين ب12- مضادات الاكتئاب,تنظيم النوم- ممارسة الرياضة الخفيفة,الأشخاص الذين يعانون من اضطرابات مناعية
التهاب العيون التحسسي,التهاب بسبب رد فعل تحسسي تجاه مهيجات,موسمي- دائم,احمرار- حكة- تدميع,الغبار- حبوب اللقاح- وبر الحيوانات,مضادات الهيستامين- قطرات مرطبة,قطرات أولوباتادين- فيكسوفينادين,تجنب المهيجات- استخدام النظارات الواقية,المصابون بالحساسية الموسمية
حب الشباب,اضطراب جلدي شائع بسبب انسداد بصيلات الشعر,خفيف- متوسط- شديد,بثور- رؤوس سوداء- التهابات جلدية,فرط إنتاج الدهون- التغيرات الهرمونية,كريمات موضعية- أدوية مضادة للالتهاب,بنزويل بيروكسيد- حمض الساليسيليك,تنظيف البشرة- تجنب المنتجات الدهنية,المراهقون- الأشخاص ذوو البشرة الدهنية
التهاب الجيوب الأنفية,التهاب في التجاويف حول الأنف,حاد- مزمن,احتقان- صداع- ألم في الوجه,العدوى الفيروسية- الحساسية- الملوثات,بخاخات الأنف- مضادات الالتهاب,أوكسي ميتازولين- لوراتادين,تجنب التدخين- تنظيف الأنف بمحلول ملحي,المصابون بالحساسية- المدخنون
الصداع النصفي,نوع من الصداع يسبب نوبات ألم شديدة,مع هالة- بدون هالة,ألم نابض- غثيان- حساسية للضوء,التوتر- الوراثة- تغيرات هرمونية,مسكنات الألم- تقنيات الاسترخاء,إيبوبروفين- باراسيتامول,تنظيم النوم- تجنب المحفزات,النساء- الأشخاص الذين يعانون من الإجهاد
متلازمة القولون العصبي,اضطراب وظيفي في الجهاز الهضمي يسبب مشاكل في حركة الأمعاء,الإسهالي- الإمساكي- المختلط,ألم بطني- انتفاخ- تغيرات في البراز,التوتر- الطعام الدهني- اضطرابات الأمعاء,أدوية مهدئة للأمعاء- تنظيم الطعام,ميبفرين- لوبيراميد,تناول ألياف صحية- تجنب الكافيين,الأشخاص الذين يعانون من القلق والتوتر
الدوخة (الدوار البسيط),إحساس بعدم التوازن وفقدان الاتجاه,دوار وضعي- دوار مركزي,فقدان التوازن- غثيان- رؤية غير واضحة,مشاكل الأذن الداخلية- انخفاض ضغط الدم,الراحة- شرب السوائل,ميكليزين- ديمينهيدرينات,تجنب الوقوف السريع- شرب السوائل,كبار السن- الأشخاص المصابون بانخفاض الضغط
فقر الدم بنقص الحديد,انخفاض عدد خلايا الدم الحمراء بسبب نقص الحديد,حاد- مزمن,إرهاق- شحوب البشرة- ضيق التنفس,سوء التغذية- فقدان الدم- الحمل,مكملات الحديد- تحسين التغذية,فيروز- فيتامين ب12,تناول طعام غني بالحديد- تجنب الكافيين بعد الأكل,النساء الحوامل- الأطفال- كبار السن
